Mach Number,Altitude (m),Airspeed (m/s),Lift Force (N),Thrust (N),Fuel Flow Rate (kg/s),Wing Area (m²),Bypass Ratio,Flight Regime
0.1,0.0,36.483570765056164,5399.677718293001,1597.4465175076855,0.6592192442122609,24.7047595925526,4.2152480635954594,Subsonic (low)
0.1019019019019019,15.015015015015015,33.95532514079072,5175.630154769698,1762.3501044910504,0.7668143517749026,25.972213785610393,4.215022884028935,Subsonic (low)
0.10380380380380382,30.03003003003003,38.53173598379676,4756.441811586714,1573.685435111423,0.8143451523635412,26.065063346104708,3.9522827768854083,Subsonic (low)
0.10570570570570571,45.04504504504504,43.55508922198007,4416.471551087153,1724.728658225405,1.0473273242925776,26.766002575822167,4.25109907877683,Subsonic (low)
0.10760760760760761,60.06006006006006,35.415819712969906,5102.364910060048,1254.7384227366872,0.9170667238647872,24.025788531154838,4.469388639187172,Subsonic (low)
0.10950950950950951,75.07507507507508,36.062548448487334,4963.309259277441,1892.5166407404101,0.7307161073542751,26.98394600586609,4.0736821047131695,Subsonic (low)
0.11141141141141142,90.09009009009009,45.775943957416835,5227.476489893746,1834.5958768429016,0.9157207460588808,22.05752666670995,4.543930764444353,Subsonic (low)
0.11331331331331332,105.10510510510511,42.363700172291075,5110.779094034178,1594.8133506194827,0.7152395710761333,25.188306304587417,4.437494904156808,Subsonic (low)
0.11521521521521522,120.12012012012012,36.82580124349842,5331.2828641661745,2043.419346175367,0.9810919282115301,25.419741388474833,4.198798981251438,Subsonic (low)
0.11711711711711711,135.13513513513513,42.532620037749645,4552.202214039536,2132.6223926393186,0.8285632104938877,27.121161410278027,4.323045423883781,Subsonic (low)
0.11901901901901903,150.15015015015015,38.14937800240416,5491.830165950296,1374.7890977463649,0.8691649096546114,26.224136469205494,4.676721418585264,Subsonic (low)
0.12092092092092092,165.16516516516518,38.78446434526183,4945.246248792646,1633.9453291928985,1.0139610461356003,24.10086462842478,4.509472325463936,Subsonic (low)
0.12282282282282284,180.18018018018017,42.969571117589936,5897.390196072392,1637.725763532279,0.7555178773758092,24.750738539502706,4.370225199448098,Subsonic (low)
0.12472472472472473,195.1951951951952,32.84000518311742,4528.479164028289,1592.2032438415147,0.747375268575788,26.54526726156836,4.326637510781977,Subsonic (low)
0.12662662662662663,210.21021021021022,34.42846389048789,5754.368287969011,2128.7223324594042,0.8315800073053394,26.147665253469434,4.395201693970212,Subsonic (low)
0.12852852852852853,225.22522522522522,40.888262053494834,4998.655091431024,1827.4377439537448,0.9966306778947245,25.416599120831663,4.283232873997124,Subsonic (low)
0.13043043043043043,240.24024024024024,39.282190744674224,4587.304011205789,1811.936838898108,0.7437110380979614,25.583053620036335,3.9703413901474884,Subsonic (low)
0.13233233233233233,255.25525525525526,46.564229655969356,4684.383409299166,1295.838287674971,0.6152829386874417,27.367575319062254,4.805432579103943,Subsonic (low)
0.13423423423423425,270.27027027027026,41.099519262033596,4779.46598554248,2093.3281117654706,0.8562354655104515,25.56580348303852,4.433767702542583,Subsonic (low)
0.13613613613613615,285.2852852852853,39.224767779609834,5165.035926153911,1536.6308899523665,0.9593782841952962,26.22922449531775,4.4880378614329155,Subsonic (low)
0.13803803803803805,300.3003003003003,54.261176777540705,5227.684010284016,1932.0939031940127,1.02708323203094,29.635285262501196,4.402532564138733,Subsonic (low)
0.13993993993993994,315.31531531531533,46.4506980771469,4692.72957761029,2003.0329012072773,0.86359377370137,24.263875444073516,4.272796459674902,Subsonic (low)
0.14184184184184184,330.33033033033036,48.56386724966584,4980.715596762401,2333.723104277121,0.8716201020511625,23.64065432105643,4.388340629335771,Subsonic (low)
0.14374374374374374,345.3453453453453,41.74913194180559,6077.341385512138,1538.5851114954976,1.0310056890411903,27.61282193463535,4.111352278792369,Subsonic (low)
0.14564564564564564,360.36036036036035,46.79760589689361,5883.291104569875,1031.0832901906892,0.7314942984989263,25.438491864515303,4.8923542365475985,Subsonic (low)
